Component,Year,SCAI,SE
Buchan,1977,84.8512734654883,0.70525
Buchan,1978,105.393398361047,0.80106
Buchan,1979,67.6535615539226,0.68075
Buchan,1980,32.6289522477734,0.83385
Buchan,1981,53.1384089945929,0.84551
Buchan,1982,361.549875402313,0.66756
Buchan,1983,1490.99654868977,0.74246
Buchan,1984,2736.1305684761,0.72013
Buchan,1985,3272.79618190404,0.68241
Buchan,1986,2953.65894171843,0.66469
Buchan,1987,3615.19111349839,0.66432
Buchan,1988,5942.58795420077,0.69661
Buchan,1989,4836.27463584905,0.67329
Buchan,1990,4598.56694387413,0.70537
Buchan,1991,3235.69816589224,0.81453
Buchan,1992,1820.37899972735,0.85019
Buchan,1993,961.889904759947,0.93627
Buchan,1994,745.533448200661,1.1236
Buchan,1995,577.841725581558,1.1243
Buchan,1996,447.823866511055,0.9388
Buchan,1997,341.313018825303,0.91117
Buchan,1998,617.574679715407,0.8532
Buchan,1999,463.58974923788,0.81455
Buchan,2000,347.06080668556,0.78269
Buchan,2001,654.060594953966,0.82166
Buchan,2002,1542.25359639278,0.85108
Buchan,2003,2810.73136301888,0.89764
Buchan,2004,3628.95497450309,0.90577
Buchan,2005,2889.09909305246,0.85606
Buchan,2006,2113.28735031412,0.86546
Buchan,2007,2639.64574595974,0.85414
Buchan,2008,2963.42211660458,0.85711
Buchan,2009,4894.17009880715,0.86004
Buchan,2010,5292.7857867905,0.85268
Buchan,2011,6761.49974364846,0.86198
Buchan,2012,8404.31043298041,0.8916
Buchan,2013,7940.24968325073,0.90228
Buchan,2014,4593.51130134903,0.84482
Buchan,2015,1619.86809164379,0.91228
Banks,1972,834.723055686731,0.50954
Banks,1973,1368.54033236844,0.49157
Banks,1974,886.694053467508,0.49786
Banks,1975,516.771084573287,0.48287
Banks,1976,448.137452960065,0.47513
Banks,1977,511.62912636816,0.43657
Banks,1978,581.609930195622,0.43072
Banks,1979,657.010499939513,0.43048
Banks,1980,556.573924406323,0.44256
Banks,1981,771.548859250887,0.45167
Banks,1982,936.640933358927,0.44153
Banks,1983,1489.35735420846,0.45436
Banks,1984,3375.50425150594,0.44729
Banks,1985,4455.52420656212,0.44084
Banks,1986,4405.01965352276,0.42965
Banks,1987,5706.72167333413,0.43536
Banks,1988,6573.48886360211,0.44996
Banks,1989,4406.78201383273,0.431
Banks,1990,4576.08908158618,0.48075
Banks,1991,2845.51685097803,0.47568
Banks,1992,870.963438928834,0.52574
Banks,1993,794.96651955482,0.53107
Banks,1994,724.440766025916,0.55001
Banks,1995,613.573462341332,0.6242
Banks,1996,696.452783622861,0.63926
Banks,1997,664.676196822914,0.68686
Banks,1998,634.412897279685,0.60634
Banks,1999,869.136334837841,0.58172
Banks,2000,1547.04200073361,0.60576
Banks,2001,3127.84641376195,0.61447
Banks,2002,5960.44248647088,0.63395
Banks,2003,9088.81667563935,0.61749
Banks,2004,9178.32495325749,0.63639
Banks,2005,8385.00273135291,0.63687
Banks,2006,6756.09270695658,0.63777
Banks,2007,5709.57574762992,0.65399
Banks,2008,8096.60405272886,0.64468
Banks,2009,8446.4372143346,0.64632
Banks,2010,8359.88541796691,0.64703
Banks,2011,9095.18107459205,0.65391
Banks,2012,6678.8426798403,0.661
Banks,2013,7413.81180755755,0.67346
Banks,2014,6578.09191668724,0.72216
Banks,2015,7200.45861857584,0.82438
Downs,1972,12.7610810995795,0.62651
Downs,1973,11.2290031711778,0.58276
Downs,1974,11.2773918459057,0.56061
Downs,1975,9.35302667991563,0.57158
Downs,1976,12.4124499855296,0.60865
Downs,1977,18.3494573159392,0.61876
Downs,1978,44.2475498809972,0.50806
Downs,1979,142.20931193499,0.4806
Downs,1980,283.128257021549,0.46324
Downs,1981,479.431007635809,0.49869
Downs,1982,534.109033125035,0.44421
Downs,1983,482.364474760932,0.42441
Downs,1984,566.229798373928,0.42316
Downs,1985,710.877412979027,0.42293
Downs,1986,700.433899892012,0.43026
Downs,1987,1023.51698501971,0.42283
Downs,1988,1393.8151799523,0.42336
Downs,1989,2338.58190233166,0.44714
Downs,1990,2758.10740315296,0.48163
Downs,1991,2686.24611042908,0.48303
Downs,1992,2027.38081490939,0.47022
Downs,1993,1897.3244717797,0.46887
Downs,1994,1456.51226902582,0.46528
Downs,1995,1158.86922194808,0.46015
Downs,1996,1734.02400333773,0.4243
Downs,1997,2546.81795973306,0.42973
Downs,1998,2418.25140968864,0.42255
Downs,1999,2557.02563330892,0.42409
Downs,2000,2889.6769706569,0.42618
Downs,2001,4052.13831588721,0.42268
Downs,2002,4545.07723560661,0.42599
Downs,2003,7519.83894630663,0.42765
Downs,2004,9303.07249141153,0.42763
Downs,2005,9322.62947128518,0.42275
Downs,2006,11370.7551437896,0.42305
Downs,2007,12613.2105494666,0.42268
Downs,2008,14959.4726464292,0.4236
Downs,2009,18469.9432382072,0.43262
Downs,2010,19080.0773695134,0.43924
Downs,2011,14209.9826483054,0.42596
Downs,2012,12346.1555241114,0.43525
Downs,2013,5675.42086027081,0.48074
Downs,2014,5990.91839065105,0.53438
Downs,2015,5419.7230752441,0.55891
